sample_index,time_s,label,fault_detail,aceleracao_x_mancal_a,aceleracao_y_mancal_a,aceleracao_x_mancal_b,aceleracao_y_mancal_b,temperatura_mancal_a,temperatura_mancal_b,corrente_fase_u,corrente_fase_v,corrente_fase_w
29,0.0011444712528566113,desgaste_rolamento,BPFI_03,-436,-756,-294,4111,28587,30279,20377,778,-20987
30,0.0011835337528566113,desgaste_rolamento,BPFI_03,-759,126,1425,-642,28587,30279,21022,-928,-20328
31,0.0012225962528566114,desgaste_rolamento,BPFI_03,1443,-222,2353,-2262,28587,30279,21468,-2087,-19064
32,0.0012616587528566114,desgaste_rolamento,BPFI_03,3079,-775,-964,-2205,28587,30279,20918,-1829,-18734
33,0.0013007212528566114,desgaste_rolamento,BPFI_03,1002,266,-1324,-6814,28587,30279,19563,-1639,-18862
34,0.0013397837528566115,desgaste_rolamento,BPFI_03,383,161,-1081,-2245,28587,30279,20462,-2739,-17694
35,0.0013788462528566115,desgaste_rolamento,BPFI_03,646,-895,-1063,-2306,28587,30279,21496,-3992,-17321
36,0.0014179087528566113,desgaste_rolamento,BPFI_03,-800,-416,-1139,-3327,28587,30279,21775,-3426,-18203
37,0.0014569712528566113,desgaste_rolamento,BPFI_03,-1177,25,-2431,4930,28587,30279,20398,-1398,-18967
38,0.0014960337528566114,desgaste_rolamento,BPFI_03,809,-602,59,-351,28587,30279,21392,-2439,-19065
39,0.0015350962528566114,desgaste_rolamento,BPFI_03,1514,-402,1616,-1647,28587,30279,22155,-4172,-18005
40,0.0015741587528566115,desgaste_rolamento,BPFI_03,69,810,-1309,8857,28587,30279,22298,-4677,-17617
41,0.0016132212528566115,desgaste_rolamento,BPFI_03,517,531,460,1224,28587,30279,21143,-3234,-18042
42,0.0016522837528566113,desgaste_rolamento,BPFI_03,724,208,986,1282,28587,30279,21244,-3534,-17543
43,0.0016913462528566113,desgaste_rolamento,BPFI_03,-1115,1025,-2655,8184,28587,30279,22188,-5339,-16760
44,0.0017304087528566114,desgaste_rolamento,BPFI_03,-1406,765,-451,-979,28587,30279,22672,-6049,-16510
45,0.0017694712528566114,desgaste_rolamento,BPFI_03,-274,176,759,-215,28587,30279,22129,-4321,-16996
46,0.0018085337528566114,desgaste_rolamento,BPFI_03,-938,379,-257,4537,28587,30279,21844,-3498,-16984
47,0.0018475962528566115,desgaste_rolamento,BPFI_03,-1121,251,1299,-2033,28587,30279,22589,-5756,-16767
48,0.0018866587528566113,desgaste_rolamento,BPFI_03,-981,-257,1079,-942,28587,30279,23459,-7147,-16226
49,0.0019257212528566113,desgaste_rolamento,BPFI_03,-661,-605,592,-4032,28587,30279,23160,-6389,-16457
50,0.0019647837528566116,desgaste_rolamento,BPFI_03,-307,-817,1477,-9010,28587,30279,21933,-4777,-17084
51,0.0020038462528566116,desgaste_rolamento,BPFI_03,485,-210,56,210,28587,30279,23159,-6867,-16253
52,0.0020429087528566117,desgaste_rolamento,BPFI_03,1585,-181,1040,-2507,28587,30279,23943,-8551,-15623
53,0.0020819712528566117,desgaste_rolamento,BPFI_03,2657,-391,809,-5656,28587,30279,23203,-8429,-15506
54,0.0021210337528566117,desgaste_rolamento,BPFI_03,1323,612,-2011,3791,28587,30279,21725,-5964,-15939
55,0.0021600962528566118,desgaste_rolamento,BPFI_03,331,451,1033,-3171,28587,30279,21787,-6738,-15199
56,0.002199158752856612,desgaste_rolamento,BPFI_03,786,-804,973,-3345,28587,30279,23055,-8475,-14645
57,0.002238221252856612,desgaste_rolamento,BPFI_03,-425,-267,-3882,9473,28587,30279,23572,-9040,-14629
58,0.0022772837528566114,desgaste_rolamento,BPFI_03,-2117,234,-1464,1966,28587,30279,22864,-7730,-15416
59,0.0023163462528566115,desgaste_rolamento,BPFI_03,-336,-572,-791,-908,28587,30279,23358,-8188,-15220
60,0.0023554087528566115,desgaste_rolamento,BPFI_03,-85,-188,-4042,5537,28587,30279,24668,-10003,-14696
61,0.0023944712528566115,desgaste_rolamento,BPFI_03,-1611,790,-124,-4477,28587,30279,24676,-10563,-14183
62,0.0024335337528566116,desgaste_rolamento,BPFI_03,-281,276,815,-1636,28587,30279,22208,-8431,-13813
63,0.0024725962528566116,desgaste_rolamento,BPFI_03,972,-293,-138,6132,28587,30279,21121,-7397,-13790
64,0.0025116587528566116,desgaste_rolamento,BPFI_03,-805,871,2911,1628,28587,30279,21835,-8937,-13146
65,0.0025507212528566117,desgaste_rolamento,BPFI_03,-541,1114,2460,4777,28587,30279,23062,-10022,-12687
66,0.0025897837528566117,desgaste_rolamento,BPFI_03,699,158,2170,691,28587,30279,23340,-9326,-13092
67,0.0026288462528566117,desgaste_rolamento,BPFI_03,13,772,2351,-2740,28587,30279,22953,-8837,-14071
68,0.0026679087528566118,desgaste_rolamento,BPFI_03,-414,837,251,2090,28587,30279,24550,-11366,-13361
69,0.002706971252856612,desgaste_rolamento,BPFI_03,533,-895,1051,-6246,28587,30279,25002,-12561,-12424
70,0.002746033752856612,desgaste_rolamento,BPFI_03,637,-1095,368,-7694,28587,30279,23281,-11392,-11564
71,0.0027850962528566114,desgaste_rolamento,BPFI_03,-1523,-385,-3204,-111,28587,30279,21657,-9470,-12111
72,0.0028241587528566115,desgaste_rolamento,BPFI_03,-95,-1103,-657,-5821,28587,30279,20648,-9757,-11074
73,0.0028632212528566115,desgaste_rolamento,BPFI_03,1296,-1350,-1037,-1751,28587,30279,22099,-11353,-10660
74,0.0029022837528566115,desgaste_rolamento,BPFI_03,224,62,-3421,6131,28587,30279,23081,-12216,-10766
75,0.0029413462528566116,desgaste_rolamento,BPFI_03,1026,60,-795,-1724,28587,30279,23332,-11708,-11651
76,0.0029804087528566116,desgaste_rolamento,BPFI_03,2293,-614,-317,-227,28587,30279,24261,-12492,-11932
77,0.0030194712528566117,desgaste_rolamento,BPFI_03,649,34,-1056,2448,28587,30279,25259,-14070,-11340
78,0.0030585337528566117,desgaste_rolamento,BPFI_03,-281,696,588,-1985,28587,30279,23926,-14186,-10240
79,0.0030975962528566117,desgaste_rolamento,BPFI_03,-361,235,133,3754,28587,30279,21901,-12724,-9812
80,0.0031366587528566118,desgaste_rolamento,BPFI_03,-715,353,404,4152,28587,30279,20735,-11263,-9659
81,0.003175721252856612,desgaste_rolamento,BPFI_03,-791,488,994,775,28587,30279,20300,-11885,-8433
82,0.003214783752856612,desgaste_rolamento,BPFI_03,-1917,760,-272,1942,28587,30279,22166,-13736,-8359
83,0.003253846252856612,desgaste_rolamento,BPFI_03,-876,-156,1376,-4650,28587,30279,22967,-14086,-8949
84,0.0032929087528566115,desgaste_rolamento,BPFI_03,-1490,325,475,-362,28587,30279,23219,-13171,-10288
85,0.0033319712528566115,desgaste_rolamento,BPFI_03,-636,-291,688,5187,28587,30279,24942,-15598,-9916
86,0.0033710337528566115,desgaste_rolamento,BPFI_03,-1887,-353,4017,-1494,28587,30279,24670,-16412,-8901
87,0.0034100962528566116,desgaste_rolamento,BPFI_03,1561,-5013,2017,2422,28587,30279,22537,-14939,-7604
88,0.0034491587528566116,desgaste_rolamento,BPFI_03,-9643,1462,-511,3403,28587,30279,21534,-13548,-7953
89,0.0034882212528566116,desgaste_rolamento,BPFI_03,2833,15155,1188,-4750,28587,30279,20329,-13595,-6669
90,0.0035272837528566117,desgaste_rolamento,BPFI_03,17474,-7207,-1790,-2019,28587,30279,20742,-14511,-5796
91,0.0035663462528566117,desgaste_rolamento,BPFI_03,13621,-1620,-3404,-1265,28587,30279,22022,-15842,-6242
92,0.0036054087528566117,desgaste_rolamento,BPFI_03,-11103,11436,-1544,-3904,28587,30279,22762,-15801,-7185
93,0.0036444712528566118,desgaste_rolamento,BPFI_03,602,-12993,-2284,255,28587,30279,24132,-16636,-7779
94,0.003683533752856612,desgaste_rolamento,BPFI_03,4598,-12611,-1048,-1615,28587,30279,24688,-17937,-6962
95,0.003722596252856612,desgaste_rolamento,BPFI_03,-19225,9060,-3259,-4472,28587,30279,21539,-18219,-5366
96,0.0037616587528566114,desgaste_rolamento,BPFI_03,-1891,-3701,2883,-2625,28587,30279,19635,-18083,-5293
97,0.0038007212528566115,desgaste_rolamento,BPFI_03,5765,-6206,6655,3670,28587,30279,20601,-15448,-5274
98,0.0038397837528566115,desgaste_rolamento,BPFI_03,-12174,7647,-1791,11909,28587,30279,19852,-16235,-3702
99,0.0038788462528566115,desgaste_rolamento,BPFI_03,-1516,3482,-698,1476,28587,30279,20629,-17666,-3123
100,0.003917908752856612,desgaste_rolamento,BPFI_03,2494,-7211,6196,-15228,28587,30279,21659,-18125,-3909
101,0.003956971252856612,desgaste_rolamento,BPFI_03,1497,7244,-4523,-3248,28587,30279,22333,-17282,-5481
102,0.003996033752856612,desgaste_rolamento,BPFI_03,1611,8393,-1468,7242,28587,30279,23362,-18890,-4649
103,0.004035096252856612,desgaste_rolamento,BPFI_03,9636,-1984,3875,6415,28587,30279,22044,-19200,-2913
104,0.004074158752856612,desgaste_rolamento,BPFI_03,5716,1579,-5811,18597,28587,30279,20908,-18844,-2270
105,0.004113221252856612,desgaste_rolamento,BPFI_03,1253,1309,-2014,3187,28587,30279,20482,-17728,-2995
106,0.004152283752856612,desgaste_rolamento,BPFI_03,-3679,-9655,5921,-15720,28587,30279,19456,-17800,-2028
107,0.004191346252856612,desgaste_rolamento,BPFI_03,-3649,-3075,1465,-6696,28587,30279,19159,-18660,-734
108,0.004230408752856612,desgaste_rolamento,BPFI_03,-4316,-138,3210,-618,28587,30279,20197,-19657,-754
109,0.004269471252856612,desgaste_rolamento,BPFI_03,-4363,-3162,5044,6330,28587,30279,21210,-19516,-2081
110,0.004308533752856612,desgaste_rolamento,BPFI_03,-2293,5135,2461,8408,28587,30279,21898,-19529,-2827
111,0.004347596252856612,desgaste_rolamento,BPFI_03,2928,4121,1310,1255,28587,30279,21400,-20258,-1399
112,0.004386658752856612,desgaste_rolamento,BPFI_03,4792,-2735,147,-7737,28587,30279,20072,-20522,215
113,0.004425721252856612,desgaste_rolamento,BPFI_03,-1407,1485,-5883,-11675,28587,30279,19571,-19992,356
114,0.004464783752856612,desgaste_rolamento,BPFI_03,2163,1588,-7145,-6766,28587,30279,19635,-18679,-652
115,0.004503846252856612,desgaste_rolamento,BPFI_03,6307,-5680,-8284,961,28587,30279,18390,-19524,847
116,0.004542908752856611,desgaste_rolamento,BPFI_03,-1582,1134,-4903,1983,28587,30279,18316,-20595,1924
117,0.004581971252856611,desgaste_rolamento,BPFI_03,-5525,3499,-2210,2622,28587,30279,19584,-21107,1007
118,0.004621033752856611,desgaste_rolamento,BPFI_03,5257,-4610,3686,771,28587,30279,20322,-20012,-775
119,0.004660096252856611,desgaste_rolamento,BPFI_03,-2774,-3860,2580,-3945,28587,30279,20501,-20884,-13
120,0.004699158752856611,desgaste_rolamento,BPFI_03,-9748,5371,5306,1154,28587,30279,19172,-21408,1897
121,0.0047382212528566114,desgaste_rolamento,BPFI_03,2762,-1888,8179,1760,28587,30279,18683,-21427,2484
122,0.0047772837528566115,desgaste_rolamento,BPFI_03,1513,-2394,767,6707,28587,30279,18852,-20477,1327
123,0.0048163462528566115,desgaste_rolamento,BPFI_03,-5885,8036,1661,11195,28587,30279,18334,-20512,1831
124,0.0048554087528566115,desgaste_rolamento,BPFI_03,3857,3989,2363,8226,28587,30279,17525,-21337,3492
125,0.004894471252856612,desgaste_rolamento,BPFI_03,7729,-4732,-4385,2030,28587,30279,17653,-21939,4076
126,0.004933533752856612,desgaste_rolamento,BPFI_03,413,1984,-3373,5451,28587,30279,19159,-21782,2163
127,0.004972596252856612,desgaste_rolamento,BPFI_03,888,594,-2239,-862,28587,30279,19387,-21456,1145
128,0.005011658752856612,desgaste_rolamento,BPFI_03,4328,-5615,-1854,-14853,28587,30279,18285,-22235,3299
129,0.005050721252856612,desgaste_rolamento,BPFI_03,1970,-1114,-3675,-4541,28587,30279,17562,-23031,4603
130,0.005089783752856612,desgaste_rolamento,BPFI_03,-7204,4096,-4096,-2404,28587,30279,17577,-22706,3727
131,0.005128846252856612,desgaste_rolamento,BPFI_03,-2057,-192,2376,-13743,28587,30279,18262,-21352,2514
132,0.005167908752856612,desgaste_rolamento,BPFI_03,2256,-2777,814,-297,28587,30279,17466,-22234,4460
133,0.005206971252856612,desgaste_rolamento,BPFI_03,-6034,2680,11,-596,28587,30279,17339,-23288,6008
134,0.005246033752856612,desgaste_rolamento,BPFI_03,-3361,1234,5453,-9538,28587,30279,18013,-23420,5745
135,0.005285096252856612,desgaste_rolamento,BPFI_03,5946,-4854,4451,6812,28587,30279,17849,-21984,3890
136,0.005324158752856612,desgaste_rolamento,BPFI_03,-1818,-140,-253,9780,28587,30279,17207,-22122,4685
137,0.005363221252856612,desgaste_rolamento,BPFI_03,-2817,3149,2933,4208,28587,30279,16494,-23309,6490
138,0.005402283752856612,desgaste_rolamento,BPFI_03,3644,-3569,513,8077,28587,30279,16342,-23688,7004
139,0.005441346252856612,desgaste_rolamento,BPFI_03,4244,-2117,-2005,1371,28587,30279,16944,-22731,5543
140,0.005480408752856612,desgaste_rolamento,BPFI_03,-1799,2512,-2509,-3920,28587,30279,16782,-22814,5567
141,0.005519471252856611,desgaste_rolamento,BPFI_03,580,-193,-3483,-3453,28587,30279,16112,-24016,7420
142,0.005558533752856611,desgaste_rolamento,BPFI_03,3537,-1387,-842,-6706,28587,30279,15823,-24489,8380
143,0.005597596252856611,desgaste_rolamento,BPFI_03,-3297,3414,-3268,6842,28587,30279,15960,-23350,6821
144,0.005636658752856611,desgaste_rolamento,BPFI_03,-6555,3677,-998,6617,28587,30279,15789,-22192,5456
145,0.005675721252856611,desgaste_rolamento,BPFI_03,2207,-235,2373,-1555,28587,30279,15169,-22701,7211
146,0.0057147837528566114,desgaste_rolamento,BPFI_03,100,91,292,5542,28587,30279,14627,-23904,8897
147,0.0057538462528566115,desgaste_rolamento,BPFI_03,-3385,2115,3676,805,28587,30279,14842,-24071,8713
148,0.0057929087528566115,desgaste_rolamento,BPFI_03,3042,-1888,7643,-7726,28587,30279,15709,-23263,6904
149,0.0058319712528566115,desgaste_rolamento,BPFI_03,3230,-3210,1757,4971,28587,30279,15156,-24404,8856
150,0.005871033752856612,desgaste_rolamento,BPFI_03,-1474,645,-1383,4869,28587,30279,14543,-25230,10584
151,0.005910096252856612,desgaste_rolamento,BPFI_03,-645,-15,2552,-5469,28587,30279,14312,-24715,10234
152,0.005949158752856612,desgaste_rolamento,BPFI_03,2027,-2262,-5683,4979,28587,30279,14503,-22698,7653
153,0.005988221252856612,desgaste_rolamento,BPFI_03,859,-786,-4935,-1008,28587,30279,13625,-21736,7784
154,0.006027283752856612,desgaste_rolamento,BPFI_03,-2949,956,-2359,-10405,28587,30279,13140,-23179,9561
155,0.006066346252856612,desgaste_rolamento,BPFI_03,-103,-595,-4330,-3869,28587,30279,12970,-23997,10477
156,0.006105408752856612,desgaste_rolamento,BPFI_03,2921,-1550,-196,-4669,28587,30279,13699,-23969,9913
157,0.006144471252856612,desgaste_rolamento,BPFI_03,-2693,1009,2740,-3164,28587,30279,13883,-24525,10338
158,0.006183533752856612,desgaste_rolamento,BPFI_03,-1312,2009,1647,4483,28587,30279,13249,-26127,12373
159,0.006222596252856612,desgaste_rolamento,BPFI_03,3059,-1189,3899,3037,28587,30279,12819,-26031,13366
160,0.006261658752856612,desgaste_rolamento,BPFI_03,1202,-71,1751,2584,28587,30279,12642,-23540,11468
161,0.006300721252856612,desgaste_rolamento,BPFI_03,-1184,2335,-956,1050,28587,30279,12380,-24469,9715
162,0.006339783752856612,desgaste_rolamento,BPFI_03,1694,18,279,-312,28587,30279,11242,-25892,10762
163,0.006378846252856612,desgaste_rolamento,BPFI_03,3413,-1015,-4388,4243,28587,30279,11030,-23768,12192
164,0.006417908752856612,desgaste_rolamento,BPFI_03,-1893,3033,-4863,2616,28587,30279,11507,-24307,12419
165,0.006456971252856612,desgaste_rolamento,BPFI_03,-2395,1979,-2256,432,28587,30279,12519,-24308,11412
166,0.006496033752856612,desgaste_rolamento,BPFI_03,2933,-1837,-2860,-2154,28587,30279,12055,-26057,13651
167,0.006535096252856611,desgaste_rolamento,BPFI_03,-2486,-49,149,-8905,28587,30279,11208,-26584,14881
168,0.006574158752856611,desgaste_rolamento,BPFI_03,-5894,1264,2494,-4536,28587,30279,10396,-24813,13717
169,0.006613221252856611,desgaste_rolamento,BPFI_03,1404,-3190,4259,-2648,28587,30279,10740,-23246,11975
170,0.006652283752856611,desgaste_rolamento,BPFI_03,361,-2631,3947,-1343,28587,30279,9693,-21922,11684
171,0.0066913462528566114,desgaste_rolamento,BPFI_03,-4152,1653,375,7222,28587,30279,8891,-22317,12666
172,0.0067304087528566115,desgaste_rolamento,BPFI_03,352,-373,416,436,28587,30279,9090,-23636,13998
173,0.0067694712528566115,desgaste_rolamento,BPFI_03,3814,-2628,1265,-6532,28587,30279,9827,-24184,13980
174,0.0068085337528566115,desgaste_rolamento,BPFI_03,-1468,1644,-3848,312,28587,30279,10306,-25172,14545
175,0.006847596252856612,desgaste_rolamento,BPFI_03,-1955,1877,-2468,-917,28587,30279,9684,-26243,16177
176,0.006886658752856612,desgaste_rolamento,BPFI_03,4330,-2231,281,-4560,28587,30279,8254,-24948,16293
177,0.006925721252856612,desgaste_rolamento,BPFI_03,2329,0,-912,3971,28587,30279,7726,-23360,14851
178,0.006964783752856612,desgaste_rolamento,BPFI_03,-3417,2389,978,4893,28587,30279,8286,-22561,13330
179,0.007003846252856612,desgaste_rolamento,BPFI_03,2864,-1409,2858,1388,28587,30279,7014,-21639,14054
180,0.007042908752856612,desgaste_rolamento,BPFI_03,3003,-1822,1690,5038,28587,30279,6538,-22483,15491
181,0.007081971252856612,desgaste_rolamento,BPFI_03,-1911,1078,2479,4543,28587,30279,7152,-23425,15998
182,0.007121033752856612,desgaste_rolamento,BPFI_03,-415,284,1594,1962,28587,30279,8357,-23970,15351
183,0.007160096252856612,desgaste_rolamento,BPFI_03,11543,-5150,-732,790,28587,30279,7908,-25348,17109
184,0.007199158752856612,desgaste_rolamento,BPFI_03,-2634,3994,-2604,1115,28587,30279,6722,-24913,17816
185,0.007238221252856612,desgaste_rolamento,BPFI_03,-21813,12868,-4045,2953,28587,30279,5865,-23343,16947
186,0.007277283752856612,desgaste_rolamento,BPFI_03,12299,-7077,-1756,-775,28587,30279,6356,-22592,15724
187,0.007316346252856612,desgaste_rolamento,BPFI_03,-8411,1506,-1409,-1657,28587,30279,5539,-21515,15490
188,0.007355408752856612,desgaste_rolamento,BPFI_03,-19081,9899,-1038,1434,28587,30279,4406,-21172,16330
189,0.007394471252856612,desgaste_rolamento,BPFI_03,12276,-12696,825,-2994,28587,30279,4314,-22253,17503
190,0.007433533752856612,desgaste_rolamento,BPFI_03,7875,-8496,4122,-5852,28587,30279,5242,-23251,17484
191,0.007472596252856612,desgaste_rolamento,BPFI_03,-8697,8255,4707,-3050,28587,30279,5736,-23171,17481
192,0.007511658752856611,desgaste_rolamento,BPFI_03,8229,-4804,1109,-3218,28587,30279,4468,-22564,18567
193,0.007550721252856611,desgaste_rolamento,BPFI_03,15792,-5776,-980,-3002,28587,30279,3303,-22720,19151
194,0.007589783752856611,desgaste_rolamento,BPFI_03,-3881,6893,2765,-3905,28587,30279,2937,-22083,18265
195,0.007628846252856611,desgaste_rolamento,BPFI_03,3958,-1419,-2001,-3473,28587,30279,3680,-21845,16786
196,0.0076679087528566114,desgaste_rolamento,BPFI_03,10386,-3883,-7479,1285,28587,30279,2623,-20639,17492
197,0.0077069712528566115,desgaste_rolamento,BPFI_03,-6031,5666,-659,-6889,28587,30279,1689,-20621,18542
198,0.0077460337528566115,desgaste_rolamento,BPFI_03,-6300,4227,-4663,-2739,28587,30279,2480,-21778,19064
199,0.0077850962528566115,desgaste_rolamento,BPFI_03,-2052,416,-2800,13821,28587,30279,3984,-22679,18353
200,0.007824158752856612,desgaste_rolamento,BPFI_03,-9372,1965,3668,7305,28587,30279,3473,-23484,19477
201,0.007863221252856612,desgaste_rolamento,BPFI_03,-5533,-675,1394,2198,28587,30279,1945,-22203,19837
202,0.007902283752856612,desgaste_rolamento,BPFI_03,125,-3768,-1417,9015,28587,30279,1390,-21397,19667
203,0.007941346252856613,desgaste_rolamento,BPFI_03,-690,-2122,3504,-2243,28587,30279,2095,-21229,18586
204,0.007980408752856612,desgaste_rolamento,BPFI_03,5829,-1159,407,-8560,28587,30279,1668,-20591,18226
205,0.008019471252856611,desgaste_rolamento,BPFI_03,4903,613,-5551,5912,28587,30279,156,-19587,18958
206,0.008058533752856612,desgaste_rolamento,BPFI_03,352,3529,103,5873,28587,30279,-466,-19710,19584
207,0.008097596252856611,desgaste_rolamento,BPFI_03,3216,1620,-2158,-618,28587,30279,1044,-21189,19588
208,0.008136658752856612,desgaste_rolamento,BPFI_03,1298,-1183,-3340,-2874,28587,30279,2026,-21637,19375
209,0.008175721252856611,desgaste_rolamento,BPFI_03,-7561,1409,5058,-10234,28587,30279,455,-21199,20204
210,0.008214783752856612,desgaste_rolamento,BPFI_03,-3018,-277,5227,-8619,28587,30279,-1160,-20166,20798
211,0.008253846252856611,desgaste_rolamento,BPFI_03,2619,-4598,5833,-2200,28587,30279,-850,-19968,20465
212,0.008292908752856612,desgaste_rolamento,BPFI_03,-4562,250,10569,-3959,28587,30279,678,-20310,19267
213,0.008331971252856611,desgaste_rolamento,BPFI_03,-2579,1917,6663,819,28587,30279,-995,-19472,19943
214,0.008371033752856612,desgaste_rolamento,BPFI_03,7412,-4662,-2510,3483,28587,30279,-2183,-19595,21267
215,0.008410096252856611,desgaste_rolamento,BPFI_03,1872,-1133,2735,-1544,28587,30279,-1765,-20354,21719
216,0.008449158752856612,desgaste_rolamento,BPFI_03,-2036,3820,-4627,3718,28587,30279,-533,-20157,20130
217,0.008488221252856611,desgaste_rolamento,BPFI_03,8695,-2021,-9643,2390,28587,30279,-1237,-20158,20678
218,0.008527283752856612,desgaste_rolamento,BPFI_03,7804,-1505,-5251,4324,28587,30279,-2862,-19245,21581
219,0.008566346252856611,desgaste_rolamento,BPFI_03,-4049,5786,-8583,12142,28587,30279,-3398,-18898,21889
220,0.008605408752856612,desgaste_rolamento,BPFI_03,-1081,1662,-5007,2226,28587,30279,-2289,-19269,21009
221,0.008644471252856611,desgaste_rolamento,BPFI_03,1944,-3964,1172,2450,28587,30279,-2292,-19153,20739
222,0.008683533752856612,desgaste_rolamento,BPFI_03,-10129,1630,1102,1623,28587,30279,-3954,-18307,21877
223,0.008722596252856612,desgaste_rolamento,BPFI_03,-10486,3213,6835,-11090,28587,30279,-4861,-17902,22421
224,0.008761658752856612,desgaste_rolamento,BPFI_03,2596,-4569,8688,-2156,28587,30279,-3654,-18353,21486
225,0.008800721252856612,desgaste_rolamento,BPFI_03,-389,-855,6109,2663,28587,30279,-2565,-18583,20847
226,0.008839783752856612,desgaste_rolamento,BPFI_03,-6276,6219,6995,-5234,28587,30279,-4604,-17638,22080
227,0.008878846252856612,desgaste_rolamento,BPFI_03,4248,-888,1255,8374,28587,30279,-6301,-17179,23104
228,0.008917908752856613,desgaste_rolamento,BPFI_03,7264,-3390,-3954,3998,28587,30279,-5928,-17357,22941
229,0.008956971252856612,desgaste_rolamento,BPFI_03,-4135,4262,-4988,-8650,28587,30279,-4343,-17903,21967
230,0.008996033752856613,desgaste_rolamento,BPFI_03,885,46,-9721,-1396,28587,30279,-6015,-17354,22946
231,0.009035096252856612,desgaste_rolamento,BPFI_03,10323,-6761,-7429,-5902,28587,30279,-7544,-16644,23728
232,0.009074158752856611,desgaste_rolamento,BPFI_03,729,658,-3902,-4212,28587,30279,-7215,-16275,23160
233,0.009113221252856612,desgaste_rolamento,BPFI_03,-3928,2493,-2864,5305,28587,30279,-5158,-16486,21438
234,0.009152283752856611,desgaste_rolamento,BPFI_03,5856,-5296,4074,-5744,28587,30279,-5401,-15880,21095
235,0.009191346252856612,desgaste_rolamento,BPFI_03,377,-1521,5548,-5069,28587,30279,-7316,-15540,22329
236,0.009230408752856611,desgaste_rolamento,BPFI_03,-8321,4423,4528,4930,28587,30279,-8017,-15442,23013
237,0.009269471252856612,desgaste_rolamento,BPFI_03,503,-1093,8634,-3727,28587,30279,-7217,-15973,22770
